gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2576258488,Lepus californicus,38.030393,-122.512257,16,2,2020,0.3,13.1,-0.4,0.117469236,88.91678661
2576256793,Lepus californicus,35.131265,-119.852261,27,2,2020,2.7,14.4,-0.4,0.139102774,87.01385962
2576256468,Lepus californicus,38.123833,-122.95462,26,2,2020,0.3,13.1,-0.4,0.117469236,88.91678661
2576254649,Lepus californicus,34.171319,-116.323271,28,2,2020,10.7,15.7,-0.4,0.139102774,87.01385962
2576250060,Lepus californicus,32.098024,-113.284771,5,2,2020,10.7,15,-0.4,0.139102774,87.01385962
2574304870,Lepus californicus,37.404012,-121.953486,20,2,2020,0.3,13.1,-0.4,0.117469236,88.91678661
2574303027,Lepus californicus,37.450432,-119.884171,18,2,2020,0.3,12.6,-0.4,0.139102774,87.01385962
2574295958,Lepus californicus,37.564189,-119.967509,14,1,2020,2.5,9.3,18.2,0.090832605,91.3170558
2574291934,Lepus californicus,37.564189,-119.967509,15,1,2020,2.5,9.3,18.2,0.090832605,91.3170558
2574284396,Lepus californicus,33.035258,-116.338954,15,2,2020,10.7,15,-0.4,0.139102774,87.01385962
2574279976,Lepus californicus,42.068462,-123.721984,10,1,2020,198.5,8.3,18.2,0.050560192,95.06967023
2574279684,Lepus californicus,36.062103,-115.113427,5,2,2020,4,12,-0.4,0.139102774,87.01385962
2574278278,Lepus californicus,37.535605,-122.233758,6,2,2020,0.3,13.1,-0.4,0.117469236,88.91678661
2574278196,Lepus americanus,47.382599,-91.210982,5,2,2020,0,-9.2,4.8,0.057124153,94.44768026
2574277939,Lepus californicus,37.564189,-119.967509,31,1,2020,2.5,9.3,18.2,0.090832605,91.3170558
2574270742,Lepus californicus,38.526618,-121.790612,10,2,2020,0.3,13.1,-0.4,1.114818153,32.79749146
2574266477,Lepus californicus,37.564181,-119.967557,3,2,2020,0.3,12.6,-0.4,0.139102774,87.01385962
2574264052,Lepus californicus,35.145779,-101.924928,12,2,2020,5.7,9.2,7.2,0.060409011,94.13794202
2574263131,Lepus californicus,36.062717,-115.115442,21,2,2020,4,12,-0.4,0.139102774,87.01385962
2574260076,Lepus californicus,39.3045,-122.4934,13,2,2020,0.3,13.1,-0.4,1.114818153,32.79749146
2574254187,Lepus californicus,40.185009,-122.224553,13,2,2020,0.3,13.1,-0.4,1.114818153,32.79749146
2574244536,Lepus californicus,33.923398,-117.310738,6,2,2020,10.7,15.7,-0.4,0.139102774,87.01385962
2574236490,Lepus californicus,33.709618,-117.221102,8,2,2020,10.7,15,-0.4,0.139102774,87.01385962
2574214747,Lepus americanus,44.086155,-71.958321,2,1,2017,86.4,-0.5,3.8,0.0625,93.94130628
2574210079,Lepus californicus,37.576999,-119.932428,19,2,2020,0.3,12.6,-0.4,0.139102774,87.01385962
2574201429,Lepus americanus,47.833268,-91.676674,1,2,2020,0,-9.2,4.8,0.057124153,94.44768026
2574193170,Lepus californicus,37.564368,-119.968035,10,2,2020,0.3,12.6,-0.4,0.139102774,87.01385962
2574190993,Lepus americanus,47.668426,-90.634365,23,2,2020,0,-9.2,4.8,0.057124153,94.44768026
2574182285,Lepus californicus,29.127487,-103.242538,19,1,2013,46.5,9.5,19.9,0.3849,68.05186847
2574178735,Lepus americanus,47.075409,-92.662314,25,1,2020,16.6,-9.7,6.5,0.102035537,90.29974614
2574177625,Lepus californicus,38.159512,-122.17796,18,2,2020,0.3,13.1,-0.4,0.117469236,88.91678661
2574173447,Lepus californicus,33.741373,-115.809565,17,2,2020,10.7,15,-0.4,0.139102774,87.01385962
2574162960,Lepus californicus,37.616339,-121.212502,2,2,2020,0.3,12.6,-0.4,0.117469236,88.91678661
2574161090,Lepus californicus,36.063698,-115.111202,13,2,2020,4,12,-0.4,0.139102774,87.01385962
2574157128,Lepus californicus,34.033439,-116.167391,23,2,2020,10.7,15.7,-0.4,0.139102774,87.01385962
